id,text,label,label_text
0edf350e45, for sure....I still got 2 hrs till I will be home at the fridge  but then BEER BEER BEER lol,1,neutral
9206b39b02,talking to my BABE  he`s amazing,2,positive
81a218143d,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,0,negative
f6b70a2471, http://twitpic.com/4phze - Awe! I miss my baby,0,negative
86adda3a27,"  I`m soo sad. It`s just on the edges of the pages, but it`s not gonna come out. *cries*",0,negative
8954e04a08,"I`m at work, hoping to enjoy the day!!  Fingers are crossed!!",2,positive
3ef24ff6fa,TGIF. I don`t feel good.,0,negative
1dea9f86e1,Now english academy,1,neutral
dd84a68427,Going into liverpool soon,1,neutral
9c7242362b,spring pictures today  going to schoooool,1,neutral
1382e45cda,McDonalds in the car.  http://tinyurl.com/onoger,1,neutral
16192d3422,Honza takes his flight back to the Czech Republic in the morning  I`m really going to miss him.,0,negative
1bae69f4ce,_jeffe83 its all the rain,1,neutral
bac11ddc14,  i know. it sucks,0,negative
a8b85fefd5,_W wow-thanks soo much. Hope your well,2,positive
080b93a03d, Go to main settings page for iPhone and scroll down - you will see it,1,neutral
23e6a370ca,My name is toggling in and out of Google Suggestions Help me by searching more for 'Ganesh Jaju' and clicking on some link,1,neutral
f8a13bf71b, ur not blind  i was just browsing & saw ur tweet & figured i could answer ur query plus i wanted to know too,1,neutral
242fabeab4, whats wrong babe?  x,0,negative
2abd17d7fe, hey is there a way u can make a somatic theme for leopard? some themes have installers already that are shapeshifter independent,1,neutral
870c815228,Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice,1,neutral
567eaf266e, Me too I need the sudden urge to do it. Missing the Diplomat title,0,negative
f72cb7c076,_Perez That`s great! I hope I`ll study with my bff too and we`ll live together. well..we will see,2,positive
83d01e9b63,So effing tired  http://bit.ly/e0ZFz,0,negative
46abf9aa57, Hey Lauren...I`m a huge fan! I hope you are having fun at Wango Tango!!,2,positive
2241aba468," >>i donï¿½t live in UK, so I canï¿½t say what i think...",1,neutral
b4f2077ad6,Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.,0,negative
cabdea54e4," Thank you, thank you!! Thought this is where all the cool kids hang out now, hehe  xoxo!",2,positive
6b556fab83, Good afternoon Jonas Brothers  x,2,positive
41ff3299a3," I wish I could work like you, dude...",2,positive
4d8925a0a9,": Geez, a cool man like him be the villains. Too bad",1,neutral
31c9a2db39, welcome back chica! hope you had a nice break,2,positive
828b37669c, You mean set up to start using? just jump in! Use the # sign with whatever word you want to use,1,neutral
9f2722cb94,"@ the Eldorado house, goodbye Aliante house. *Memories made, memories fade!",1,neutral
e49ad43635,Goood Moring,2,positive
16a0513509,Shower day.,1,neutral
33f75c1951,WGN is playing old episodes of Rocky & Bullwinkle. Fractured Fairy Tales for the win,1,neutral
846e092fd8,"_idiots hahaha! I don`t work in a **** you know  alrighty mister, have YOU done any public may dancing today?",1,neutral
52b2a66104,Im bumbed though cuz ima miss da laker game        |double sad face|,1,neutral
295ec1c7e8,i hate the bus...any donations toward my car fund?,0,negative
3d0df33cbb, Bad rum experience in college - still haven`t recovered,0,negative
949c5ae7a1,"Tired, But glad its a bank holiday",1,neutral
28b7b971ff,1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA,1,neutral
04d4a3c191,i need new running shoes!! my feet are completely torn up,0,negative
49e54a6213,off to work for the day,1,neutral
f3f729c014, not so good,0,negative
ba0fc4be4d,Wishing all the Mama`s out there a very Organic Happy Mother`s Day,2,positive
cd8f6b6103," Aha, Ok  I might see you there yano.",1,neutral
f967942f57, Hey thanks for following  Love the name Elijah thats what im going to name my Son,2,positive
3c9af002ac,Ive chosen Grease,1,neutral
3af0ba6598,Hahhahah I`m watching the greatest movie ever,2,positive
6fbc7b73c0,Mmmm Ham  Yummy! I have hat hair...Stupid Deli ._.,1,neutral
0dc68d825f,LOL!!  I`m glad I`ve seen the original trailer or that wouldn`t have made sense     Someone certainly went to a lot... http://bit.ly/A0pyr,1,neutral
7f38289044, have a great camp!!!!! Wish I could be there.,2,positive
2bfc97713f,i miss you tooooo  you arent too far! *A*,0,negative
